,Date,Close,Probability,Position,Actual_Return,Strategy_Return,Cumulative_Strategy,Cumulative_Market
196,2025-10-07,25108.30078,1.0,1,-0.002478361129760742,-0.002478361129760742,1.04788649142786,1.04788649142786
197,2025-10-08,25046.15039,1.0,1,0.005401403643190861,0.005401403643190861,1.053546549340309,1.053546549340309
198,2025-10-09,25181.80078,1.0,1,0.004103618673980236,0.004103618673980236,1.0578699026340892,1.0578699026340892
199,2025-10-10,25285.34961,1.0,1,-0.002296453109011054,-0.002296453109011054,1.055440554007256,1.055440554007256
200,2025-10-13,25227.34961,1.0,1,-0.0032497539650648832,-0.0032497539650648832,1.0520106318819806,1.0520106318819806
201,2025-10-14,25145.5,1.0,1,0.007055869325995445,0.007055869325995445,1.0594334814300979,1.0594334814300979
202,2025-10-15,25323.55078,1.0,1,0.01028317492455244,0.01028317492455244,1.0703278212405711,1.0703278212405711
203,2025-10-16,25585.30078,1.0,1,0.004856173414736986,0.004856173414736986,1.075525518751133,1.075525518751133
204,2025-10-17,25709.84961,1.0,1,0.005171418655663729,0.005171418655663729,1.081087511483445,1.081087511483445
205,2025-10-20,25843.15039,1.0,1,0.0009842723375186324,0.0009842723375186324,1.082151596015435,1.082151596015435
206,2025-10-21,25868.59961,1.0,1,0.0008810193976387382,0.0008810193976387382,1.0831049925627103,1.0831049925627103
207,2025-10-23,25891.40039,1.0,1,-0.0037243773695081472,-0.0037243773695081472,1.0790711008396086,1.0790711008396086
208,2025-10-24,25795.15039,1.0,1,0.00660344073548913,0.00660344073548913,1.086196682903382,1.086196682903382
209,2025-10-27,25966.05078,1.0,1,-0.0011502994457259774,-0.0011502994457259774,1.0849472314610888,1.0849472314610888
210,2025-10-28,25936.19922,1.0,1,0.004527837969362736,0.004527837969362736,1.0898596967304532,1.0898596967304532
211,2025-10-29,26053.90039,1.0,1,-0.006780108902603388,-0.006780108902603388,1.0824703292980624,1.0824703292980624
